Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga
,,,,,,,,,Espaço Gourmet,,,Suítes,,,,,Residencial San Felice,
,380,900,749000,3,,160,3,Itapema,Elevador,,Meia Praia,Suítes,3,Apartamento,Rua 284,2,"Apartamento Mobiliado em Meia Praia Com Ampla Sacada, Bem Localizado (Ap0110).",2
,770,,1080000,5,210,124,3,Curitiba,Fitness/Sala de Ginástica,,Ecoville,Playground,3,Apartamento,Rua Deputado Heitor Alencar Furtado 3600,1,Apartamento - Axis 21,2
,,,,,,,,,,,,,,,,,Flex Osasco,
,560,,1250000,1,1000,240,6,Itu,Espaço Gourmet,Aceita FGTS,Condomínio Xapada Parque Ytu,Suítes,4,Casa,"Rodovia do Açúcar, km 23,5",4,Casa Residencial / Condomínio Xapada Parque Ytu,6
,688,90,479000,20,,68,2,São Paulo,Elevador,,Ipiranga,Guarita,3,Apartamento,R DO MANIFESTO,1,"Apartamento 3 Dormitórios, Suite, 68 Útil, 2 Vagas, Próximo Metrô Sacomã",2
,,,4085000,,514,284,4,Curitiba,Espaço Gourmet,,Batel,Suítes,3,Apartamento,Rua Francisco Rocha 165,3,Roc Batel - Sym Imóveis,4
,,1,5500000,Breve lançamento,500,500,0,,,,,Cozinha americana,5,Casa,,2,Casa à Venda - no Jardim Paulista,6
,,800,390000000,Breve lançamento,100,73,1,São Paulo,Interfone,Aceita FGTS,Saúde,Suítes,3,Apartamento,Rua 15 de Setembro,1,"Apartamento Com Sacada à Venda no Bairro Da Saúde, São Paulo 73 m&sup2;",2
1900,,118,,20,,167,3,Atibaia,Acesso asfaltado,,Vila Santista,Piso frio,3,Casa,Rua Floresta 62,1,Casa 3 Dormitórios em Bairro Nobre De Atibaia - Locação,2
,,,,,,,,,Espaço Gourmet,,,,,,,,Viva Benx Nações Unidas,
,1000,1,750000,1,,170,2,Praia Grande,,,Canto do Forte,,3,Apartamento,AVENIDA MARECHAL MALLET 216,3,"Apartamento 3 Suites, Com 2 Vagas em Praia Grande. Pronto para Morar! Oportunidade Unica!",2
,190,,156000,Em construção,41,41,1,São Paulo,Espaço Gourmet,Aceita FGTS,Jardim São Savério,Churrasqueira,2,Apartamento,AV DOS OURIVES,0,.mega Lançamentooo - 2 Dorm. - Cursino Zona Sul! Venha Conferir!.,0
,,,,,,,,,Salão de festas,,,,,,,,Reserva Dos Pinhais,
,525,,630000,6,,90,3,Águas Claras,,,Aguas Sul,Suítes,3,Apartamento,Rua 35 0,1,Rua 35 E 36 Sul Residencial Villa Mateus Reformado,2
,2433,,1450000,1,4913,266,6,São Paulo,Espaço Gourmet,Andares,Jardim Taquaral,Suítes,4,Apartamento,Rua Professor Campos de Oliveira,4,Apartamento 4 Dormitórios Com Suítes em São Paulo - Sp / Jardim Do Golf,4
,,,,,,,,,Fitness/Sala de Ginástica,,,,,,,,Insight Vila Leopoldina,
,,,440930,1,65,65,1,São Paulo,Espaço Gourmet,Aceita FGTS,Vila Mascote,Suítes,3,Apartamento,Avenida Vereador João de Luca,1,Quadra Vila Mascote - Apartamento De 3 Dormitórios Com 1 Vaga - Zona Sul,1
15000,2900,709,,,,390,5,Santo André,Salão de festas,,Jardim,Armário embutido,4,Apartamento,Rua João Fernandes 86,3,Apartamento para Aluguel - no Jardim,6
3250,950,1,,,,284,3,Campinas,Playground,,Centro,Armário embutido,4,Casa,Giuseppe Máximo Scolfaro 501,1,Casa para Aluguel - no Centro,2
,100,30,650000,1,130,130,3,Rio de Janeiro,,,Campo Grande,,3,Casa,Estrada do Lameirão Pequeno,1,Rio Da Prata - Casa Duplex 3 Quartos/1 Suíte em Condomínio - 130 m&sup2; - 2 Vagas,2
1550,175,275,,15,35,35,1,,Acesso asfaltado,,,,0,Comercial,,0,Ed. Phoenix - Salão/barbearia,0
