Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
,2000.0,1500.0,5700000.0,9,232.0,232.0,4.0,São Paulo,Espaço Gourmet,,Vila Nova Conceição,Suítes,3.0,Apartamento,R AFONSO BRAZ,3.0,Walk Vila Nova: Design De Interiores Impecável,3.0,
4000.0,,,330000.0,,50.0,50.0,0.0,,,,,,0.0,Comercial,,0.0,Comercial - Jardim Belo Horizonte,30.0,4000.0
,790.0,900.0,927000.0,17,172.0,111.0,3.0,Porto Alegre,Fitness/Sala de Ginástica,,Menino Deus,Churrasqueira,3.0,Apartamento,VISCONDE DO HERVAL,1.0,Apartamento à Venda - em Menino Deus,2.0,
,750.0,80.0,495000.0,3,84.0,69.0,2.0,São Paulo,Salão de festas,,Jardim Prudência,Aceita Financiamento,3.0,Apartamento,Avenida Coronel Francisco Júlio César Alfieri 122,1.0,"Apartamento Residencial à Venda, Jardim Prudência, São Paulo.",1.0,
,,,196400.0,Breve lançamento,41.0,25.0,1.0,Curitiba,Espaço Gourmet,,Centro,,1.0,Apartamento,"Rua Riachuelo 110, Centro",0.0,All You Need - Studio (25 M&sup2;) Localizado no Centro De Curitiba.,0.0,
,,,850000.0,,,124.0,4.0,Guarujá,Salão de festas,,Praia da Enseada,Piscina,3.0,Apartamento,Rua Argentina 404,3.0,"Apartamento Residencial à Venda, Enseada, Guarujá - Ap7568.",2.0,
8000.0,,1500.0,,48,455.0,220.0,2.0,São Paulo,,,Pacaembu,,3.0,Casa,R Garopaba 402,1.0,Pacaembu,3.0,8000.0
,,,3448610.0,7,592.0,330.0,4.0,Curitiba,Espaço Gourmet,,Batel,,4.0,Apartamento,"Avenida Silva Jardim,3422",4.0,Apartamento à Venda no Batel,4.0,
2570.0,1280.0,200.0,,15,52.0,50.0,1.0,São Paulo,Fitness/Sala de Ginástica,,Moema,Suítes,1.0,Apartamento,"Avenida Moema, 177",1.0,Flat Amplo Todo Mobiliado em Moema – Place Vendome – Flat & Flats 11 5042 - 6200,1.0,3850.0
,350.0,200.0,690000.0,1,85.0,71.0,2.0,Florianópolis,,,Ingleses,Suítes,2.0,Apartamento,Estrada Dom João Becker 4,2.0,"Apartamento Residencial à Venda, Ingleses, Florianópolis.",1.0,
,,,6950500.0,Em construção,343.0,343.0,6.0,São Paulo,Espaço Gourmet,,Alto de Pinheiros,,4.0,Casa,Rua Professor Fonseca Rodrigues,4.0,Fechamento De Mês Faça Sua Proposta - Casas Alto De Pinheiros!,4.0,
,380.0,,550000.0,,95.0,75.0,2.0,Balneário Camboriú,,,Centro,Aceita Financiamento,2.0,Apartamento,Rua 1001 468,1.0,"Apartamento à Venda, Edifício Amazonas, Centro, Balneário Camboriú.",1.0,
,1075.0,,795000.0,22,,101.0,3.0,São Paulo,,,Vila Mascote,Suítes,3.0,Apartamento,Rua Palestina 573,1.0,"Apartamento Residencial à Venda, Vila Mascote, São Paulo.",2.0,
,380.0,900.0,749000.0,3,,160.0,3.0,Itapema,Elevador,,Meia Praia,Suítes,3.0,Apartamento,Rua 284,2.0,"Apartamento Mobiliado em Meia Praia Com Ampla Sacada, Bem Localizado (Ap0110).",2.0,
,770.0,,1080000.0,5,210.0,124.0,3.0,Curitiba,Fitness/Sala de Ginástica,,Ecoville,Playground,3.0,Apartamento,Rua Deputado Heitor Alencar Furtado 3600,1.0,Apartamento - Axis 21,2.0,
,560.0,,1250000.0,1,1000.0,240.0,6.0,Itu,Espaço Gourmet,Aceita FGTS,Condomínio Xapada Parque Ytu,Suítes,4.0,Casa,"Rodovia do Açúcar, km 23,5",4.0,Casa Residencial / Condomínio Xapada Parque Ytu,6.0,
