,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
7179,,,,575400,1,132,73,2,Curitiba,Espaço Gourmet,Andares,Água Verde,Suítes,2,Apartamento,Av. Brigadeiro Franco,1,Apartamentos 2 Dormitórios - Água Verde,1,
7180,,,876,2200000,,525,277,5,São Paulo,Aquecimento central,,Chácara Monte Alegre,Suítes,3,Casa,Rua Marituba,1,Ótima Localização!,4,
7181,,1181,492,800000,30,,151,3,São Paulo,Salão de festas,,Saúde,Estuda permuta,3,Apartamento,R DOS DEMOCRATAS,1,"Ap. 4 dorms.(1st),living Grande Com Sacada, Cozinha Grande, 2 Vagas - 151 m&sup2; A. U - Metro S. Judas.",2,
7182,,680,1012,520000,10,,89,3,Águas Claras,Salão de festas,,Aguas Norte,Armário de cozinha,3,Apartamento,Rua Alecrim LOTE 4,1,Mirante Das Águas 3 Qts 1 Suíte Dce 89 m 2 Vgs De Garagem,2,
7183,,1750,1216,3000000,,420,372,6,São Paulo,Jardim,,Brooklin,Churrasqueira,4,Casa,Rua Vicente Leporace 371,4,Casa em Condomínio para Venda em Brooklin São Paulo - Sp,4,
7184,,3600,1400,1910000,,193,193,6,São Paulo,Fitness/Sala de Ginástica,,Campo Belo,Suítes,4,Apartamento,Rua Conceição Marcondes Silva,4,Campo Belo,4,
7185,,,3766,6000000,,1230,820,0,São Paulo,,,Alto da Boa Vista,Suítes,5,Casa,RUA AMÉRICO BRASILIENSE,5,Casa Alto Da Boa Vista,8,
7186,,,131,550000,58,200,150,2,São Paulo,,,Cidade Dutra,Piso frio,2,Casa,R CAMBUCI DO VALE,0,Casa Cidade Dutra,3,
7187,,760,800,570000,,,72,1,Brasília,Lavanderia,,Sudoeste,Ar condicionado,1,Apartamento,EQSW 304/504 1,1,Vancouver Dúplex Com Terraço De 1 Qto Com Suíte 72 m&sup2; E 1 Vaga De Garagem,1,
7188,5000,1400,422,1500000,54,,255,3,São Paulo,Salão de festas,Aceita FGTS,Higienópolis,Piso de madeira,3,Apartamento,"Rua Conselheiro Brotero,",1,255 m&sup2; - 01 Vaga - Ampla Varanda - Local Nobre,1,50001400
7189,,450,,205000,25,62,28,1,São Paulo,Interfone,Andares,Campos Elíseos,Cozinha americana,1,Apartamento,AL.EDUARDO PRADO,0,Venda - Campos Elíseos 01 Dormitório 01 Vaga!,1,
7190,,,,990000000,6,800,250,4,Cajamar,Espaço Gourmet,Posição do Sol,Condomínio Capital Ville,Suítes,3,Casa,Rua das palmas,1,Linda Casa no Condomínio Capital Ville 2 - Cajamar - Sp,5,
7191,,514,752,320000,15,52,52,2,São Paulo,Salão de festas,,Mooca,Área de serviço,2,Apartamento,Dianopolis 1283,0,Ótimo Apartamento Próximo Ao Shopping Mooca,1,
7192,,327,50,315000,,61,61,2,São Paulo,,,Vila Prudente,,3,Apartamento,Vila Ema 1899,1,Ed. Spazio Vitta Vila Ema - 61 m&sup2; - 3 Dormitórios E 1 Vaga.,1,
7193,,3932,464,2050000,30,397,193,5,São Paulo,Fitness/Sala de Ginástica,,Jardim América,Suítes,3,Apartamento,Alameda Franca,3,"Excelente Oportunidade no Bairro Do Jardins! Próximo Ao Colégio Dante 3 Suit, Com Varanda E 3 Vagas",3,
7194,25000,,4100,4895000,,1400,750,8,São Paulo,,,Brooklin,Suítes,4,Casa,RUA ENGENHEIRO LUIZ ANTÔNIO TAMBASCO,4,Residencia De Alto Padrão,6,
7195,,1900,670,1650000,,200,170,2,São Paulo,Vestiário,,Perdizes,Suítes,4,Apartamento,R DOUTOR CÂNDIDO ESPINHEIRA,2,Excelente Apartamento Com Ótimo Lazer!,3,
7196,,1780,300,1400000,39,210,150,2,São Paulo,Playground,,Higienópolis,Suítes,3,Apartamento,R SÃO VICENTE DE PAULA,1,"Apartamento, Higienópolis, São Paulo",2,
7197,,3200,826,2875000,23,203,203,0,São Paulo,Salão de festas,,Higienópolis,Escritório,4,Apartamento,R SÃO VICENTE DE PAULA,4,"Apartamento, Higienópolis, São Paulo",3,
7198,,1348,432,1280000,,135,135,2,São Paulo,Salão de festas,,Higienópolis,,3,Apartamento,R SÃO VICENTE DE PAULA,1,"Apartamento, Higienópolis, São Paulo",1,
7199,,,734,1300000,,592,303,4,São Paulo,,,Interlagos,Suítes,3,Casa,Rua Juruna,1,Imóvel Reformado em Rua Arborizada,4,
7200,,190,,580000,1,250,154,3,Sorocaba,Espaço Gourmet,,Condomínio Ibiti Reserva,Suítes,3,Casa,AVENIDA FERNANDO STECCA 3522,3,"Casa em Condomínio em Sorocaba - Sp, Ibiti Reserva.",4,
7201,,500,,485000,,80,60,1,São Paulo,,,Higienópolis,,2,Apartamento,R Barão de Tatuí,0,Apartamento Reformado De 2 Dormitórios Próximo Ao Shopping Higienopolis,0,
7202,,450,,490000,,120,90,2,São Paulo,Jardim,,Vila Buarque,Estuda permuta,2,Apartamento,R Sebastião Pereira,1,Apartamento Reformado em Santa Cecília,0,
7203,,860,274,970000,15,105,85,2,São Paulo,Salão de Jogos,,Perdizes,Suítes,2,Apartamento,R CORONEL MELO OLIVEIRA,1,Apartamento Pronto para Morar em Prédio Completo! Perdizes!,2,
7204,5000,1860,331,1060000,,210,118,1,São Paulo,Fitness/Sala de Ginástica,,Higienópolis,Armário embutido,2,Apartamento,R SÃO VICENTE DE PAULA,0,Excelente Cobertura Duplex em Higienópolis!,1,50001860
7205,,1433,464,522000,,,137,0,São Paulo,Sauna,,Morumbi,,3,Apartamento,R FRANCISCO MARCONDES VIEIRA,1,"Apartamento, Morumbi, São Paulo",2,
7206,1400,20,150,,,50,50,1,São Paulo,,,Vila Paulicéia,Piso frio,2,Casa,R Bararque,0,Sobrado De Vila A 300 m Do Metro Parada Inglesa Com 2 Quartos E 2 Vagas,2,140020
7207,,250,400,225000,,94,61,2,Curitiba,,,Portão,Churrasqueira,3,Apartamento,Rua João Bettega 4301,1,João Bettega - 3 Quartos - 1 Suite - Vaga Coberta - Portão,1,
7208,9000,2434,497,2100000,,,255,2,São Paulo,Salão de festas,,Santa Cecília,,3,Apartamento,R DOUTOR BRASÍLIO MACHADO,1,"Apartamento, Santa Cecília, São Paulo",2,90002434
7209,,,,229900,1,135,70,2,Mongaguá,Espaço Gourmet,,Itaóca,Piso frio,3,Casa,avenida monteiro lobato 7642,0,Sobrado Com 03 Dormitórios A 300 m Da Praia - Aceita Permuta - Mongaguá!,2,
7210,,1570,5000,2850000,,10000,320,6,,Espaço Gourmet,,,Suítes,3,Apartamento,,2,Sofisticada E Elegante Cobertura em Localização Nobre!,5,
7211,,550,60,260000,2,43,43,2,Salvador,Salão de festas,,Pituba,Piso frio,1,Apartamento,Rua Território do Rio Branco,,"Apartamento à Venda, Pituba, Salvador",1,
7212,,,,265000,10,51,51,1,Salvador,Fitness/Sala de Ginástica,Aceita FGTS,Caminho das Árvores,Piso elevado,1,Apartamento,"Av. Tancredo Neves, 2227",1,Apartamento 1 Quarto | 1 Suíte | 51 m&sup2; | 50 Itens De Lazer,1,
7213,,980,3000,1280000,1,280,280,5,São Paulo,Espaço Gourmet,Aceita FGTS,Tremembé,Suítes,4,Casa,Av. Senador Ermirio de Moraes,2,"Belíssimo Condomínio Fechado De Alto Padrão, 4 Dorms. E 2 Suites no Tremembé.",4,
7214,,,900,539909,13,186,161,2,Curitiba,Espaço Gourmet,Aceita FGTS,Guaíra,Suítes,3,Casa,Rua Alfredo Xavier de Almeida,1,Conjunto Residencial Souza,2,
7215,2100,,,,,118,118,2,São Paulo,,,Vila Ema,,2,Casa,Dona Ana Araujo de Paula 220,0,Sobrado na Vila Ema - 2 Dormitórios E 2 Vagas.,2,
7216,,432,660,390000,39,121,65,2,Curitiba,,,Centro,Área de serviço,2,Apartamento,R LOURENÇO PINTO,0,"Apartamento no Centro, 2 Dormitórios 1 Vaga, Cozinha Com Armários. Construção Thá",1,
7217,900,380,40,,,,60,1,,Playground,,,Armário de cozinha,2,Apartamento,,0,"Oportunidade! Apartamento para Locação em São Bernardo, 60 m&sup2; 2 Dormitórios, Cozinha Planejada!",1,900380
7218,14900,,210,,,240,960,0,São Paulo,,,Bom Retiro,,0,Comercial,R SOLON,0,Prédio Comercial para Locação no Bom Retiro,0,
7219,,,,3032000,,300,283,4,Curitiba,,,Juvevê,Suítes,4,Apartamento,Rua Manoel Eufrásio 576,4,Le Chateau - 4 Suítes - 4 Vagas - Juvevê,4,
7220,,350,1,243554,4,80,65,2,Curitiba,,,Bacacheri,Churrasqueira,3,Apartamento,Rua Amadeu Assad Yassim 270,1,Atual Bacacheri - 3 Quartos - 1 Suíte - Bacacheri,1,
7221,,1,1,915000,,204,129,3,Curitiba,Fitness/Sala de Ginástica,,Campo Comprido,Suítes,3,Apartamento,Rua Professor Pedro Viriato Parigot de Souza 3650,3,Acquarelle - Apartamento Com 3 Dormitórios - 3 Suítes - Ecoville,2,
7222,,1,1,2233000,,300,243,4,Curitiba,Sistema de alarme,,Campo Comprido,Suítes,4,Apartamento,Rua Rosa Kaint Nadolny 260,4,"Apartamento Residencial à Venda, Campo Comprido, Curitiba - Ap0028.",4,
7223,,600,14000,2650000,18,705,550,5,São Paulo,,,Alto da Boa Vista,,4,Casa,Rua Cassiano Ricardo,4,Casa em Jardim Cordeiro - São Paulo,4,
7224,,,,875000,8,,217,4,Curitiba,Portão Eletrônico,,Jardim Social,Copa,4,Casa,Rua Coronel Romão Rodrigues de Oliveira Branco 389,1,Sobrado - Axis 21,3,
7225,,,,550000,29,95,95,2,Belo Horizonte,Elevador,,Sion,Área de serviço,3,Apartamento,RUA NICARAGUA,1,Apartamento 3 Quartos no Sion à Venda - Cod: 105106,2,
7226,,1600,1,2350000,,238,238,4,Brasília,Elevador,,Asa Sul,Guarita,5,Apartamento,QD SQS 111,1,Asa Sul Sqs 111 - Nascente Com Projeto De Reforma Incluso!,2,
7227,,,,420000,,125,114,,São Paulo,,,Saúde,,2,Casa,Sob Consulta,1,Casa à Venda - em Saúde,1,
7228,,680,120,600000,,90,90,3,São Paulo,,,Vila Graciosa,,3,Apartamento,Caioaba 409,2,"Ed. Fiore Gardênia - 90 m&sup2;, 3 Dormitórios Sendo 2 Suítes E 2 Vagas De Garagem.",2,
7229,,480,1,369000,3,78,78,2,Curitiba,Salão de festas,,Capão Raso,Churrasqueira,3,Apartamento,Rua Antônio Gasparin 6055,1,"Apartamento Residencial à Venda, Capão Raso, Curitiba.",2,
7230,,,,260000,,,48,1,Águas Claras,Interfone,,Aguas Norte,Aceita Financiamento,2,Apartamento,RUA 36 36,0,Rua 36 Privilege - Andar Alto/2 Vagas /fr. Metro,2,
7231,2999,800,150,,18,,117,3,Jundiaí,Salão de festas,Ocupado,Centro,Mobiliado,3,Apartamento,RUA ONZE DE JUNHO 260,3,Belo Apartamento Mobiliado no Centro De Jundiaí,0,2999800
7232,,480,1600,495000,1,97,96,3,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Baeta Neves,Suítes,3,Apartamento,"Avenida Armando Ítalo Setti, 659",1,"3 Dormitórios, Terraço Gourmet E 2 Vagas Próximo Ao Shopping",2,
7233,,350,,275000,,47,47,1,São Paulo,Fitness/Sala de Ginástica,,Vila Ema,Mobiliado,2,Apartamento,Antonio Pires de Campos 140,0,"Apartamento Vila Ema - 47 m&sup2;, 2 Dormitórios E 1 Vaga.",1,
7234,1350,50,150,,,45,45,1,São Paulo,Portão Eletrônico,,Santana,Churrasqueira,2,Casa,AV Marechal Eurico Gaspar Dutra,0,Sobrado em Condomínio A 300 m Do Metro Parada Inglesa Com 2 Quartos E 1 Vaga - A Vila Paulicéia,1,135050
7235,,550,1900,610000,1,119,118,5,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Baeta Neves,Suítes,3,Apartamento,"Avenida Armando Ítalo Setti, 659",3,Helbor Ideale Preço - 3 Dormitórios no Centro De Sbc,2,
7236,,480,1850,491000,1,95,95,3,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Baeta Neves,Suítes,3,Apartamento,"Avenida Pereira Barreto, 1479",1,Trilogy Home Preço - 3 Dormitórios Com Terraço Gourmet E Lazer Clube,2,
7237,,707,325,720000,,92,92,2,São Paulo,Fitness/Sala de Ginástica,,Mandaqui,,3,Apartamento,Rua Maria José Pomar,1,"92 m Quadrados Com 02 Vagas, 03 Dormitórios,01 Suite, Sacada Com Churrasqueira",2,
7238,,510,235,309000,2,110,76,2,Praia Grande,,,Campo da Aviação,,2,Apartamento,AVENIDA LUZIA ENCARNACAO VIDAL 88,1,Apartamento 2 Dormitórios Sendo 1 Suite em Praia Grande!,1,
7239,,380,,243000,1,43,43,1,Águas Claras,Espaço Gourmet,Aceita FGTS,Aguas Norte,Varanda,1,Apartamento,Rua Coapaíba,1,"Apartamento De 1 Quarto, Novo, Lazer Completo no Df Century Plaza em Águas Claras.",1,
7240,,280,46,320000,,64,64,1,São Paulo,,,Santana,,2,Apartamento,Rua Conselheiro Moreira de Barros,0,Apartamento 02 Dormitórios Térreo - Transporte Público na Porta - Santana,0,
7241,,,,1100000,,200,200,1,São Paulo,,,Vila Romana,Suítes,3,Casa,R BARBARA  HELIODORA,1,Sobrado A Venda - Vila Romana,3,
7242,,1000,,735000,,143,86,2,São Paulo,,,Higienópolis,,2,Apartamento,AV Angélica,0,"2 Dormitórios E 1 Vaga De Garagem Totalmente Reformado, Com Ótima Localização em Prédio Bastante Pro",1,
7243,,1345,893,2500000,,350,350,5,São Paulo,,,Tremembé,,3,Casa,AVENIDA NOVA CANTAREIRA,3,Magnifico Sobrado em Condominio Fechado Tres Suites,6,
7244,,180,,390000,48,93,93,2,São Paulo,,,Parque Palmas do Tremembé,Quintal,3,Apartamento,Rua Doutor Henrique Meyer,1,Apartamento 3 Dormitórios 1 Suíte Com Closet - 2 Vagas - 93 m&sup2; R$390.000 - Aceita Financiamento!,2,
7245,,,,1080000,,200,200,,São Paulo,,,Perdizes,Suítes,2,Casa,R CAIUBI,2,Casa A Venda - Perdizes,2,
7246,,1568,,1600000,,,125,1,São Paulo,Interfone,,Consolação,Suítes,3,Apartamento,R MATIAS AIRES,1,Apartamento A Venda - Consolacao,2,
7247,,2560,,1980000,,,170,,São Paulo,,,Pacaembu,Suítes,4,Apartamento,R MANGABEIRAS,3,Apartamento A Venda - Pacaembu,4,
7248,,850,1500,1450000,8,322,194,,Balneário Camboriú,Fitness/Sala de Ginástica,Andares,Centro,Mobiliado,3,Apartamento,AVENIDA BRASIL 171,1,Apartamento Cobertura na Av Brasil em Balneário Camboriú.,2,
7249,,660,,650000,,,70,1,São Paulo,Interfone,,Barra Funda,Churrasqueira,3,Apartamento,R DONA ELISA,1,Apartamento A Venda - Barra Funda,1,
7250,,990,,790000,39,,93,1,São Paulo,Interfone,,Perdizes,Guarita,3,Apartamento,R MONTE ALEGRE,1,Apartamento A Venda - Perdizes,2,
7251,,610,,690000,,,70,1,São Paulo,Interfone,,Barra Funda,Guarita,3,Apartamento,R DR. ALFREDO DE CASTRO,1,Apartamento A Venda - Barra Funda,2,
7252,,1100,300,3000000,,1000,450,6,,Pista de cooper,,,Suítes,4,Casa,,4,Único E Diferenciado - Sobrado Com 1.000 m no Cond. Portal II,6,
7253,2000,,,495000,,132,132,1,São Paulo,,,Parque Jabaquara,Suítes,3,Casa,R DANIEL KIDDER,1,Sobrado A Venda - Parque Jabaquara,2,
7254,2800,1614,,1250000,42,,180,2,São Paulo,Interfone,,Perdizes,Suítes,4,Apartamento,R MONTE ALEGRE,1,Apartamento A Venda - Perdizes,2,28001614
7255,,,589,1700000,,300,250,6,São Paulo,,,Chácara Santo Antônio,Suítes,3,Comercial,Rua Diogo Quadros,2,Comercial em Santo Amaro - São Paulo,4,
7256,,2800,1000,1500000,,210,210,5,São Paulo,Elevador,,Santana,Suítes,4,Apartamento,RUA CASA FORTE,3,Lindo Aparatemento no Jardim França,6,
7257,,3800,1200,4470000,13,208,208,4,São Paulo,Fitness/Sala de Ginástica,Posição do Apto,Itaim Bibi,Suítes,2,Apartamento,rua leopoldo couto magalhaes,2,More em Um Dos Bairros Mais Famosos De São Paulo,4,
7258,,,,699000,3,193,165,4,Itapema,Espaço Gourmet,,Meia Praia,Suítes,3,Apartamento,Rua /,3,"Barbada, Apartamento Mobiliado E Decorado, 03 Suítes, 03 Vagas Garagem, Meia Praia, Itapema Sc",3,
7259,20000,,5782,,,302,1602,0,São Paulo,,,Bom Retiro,,0,Comercial,R ANHAIA,0,Prédio Com Térreo Mais Três Andares no Bom Retiro,0,
7260,,462,735,360000,5,65,62,2,Águas Claras,Fitness/Sala de Ginástica,Aceita FGTS,Aguas Norte,Suítes,2,Apartamento,QUADRA 101,1,"Residencial Apê, Andar Alto, Vista Livre, Torre Única, desocupado!",1,
7261,4000,600,120,,,,42,1,São Paulo,Espaço Gourmet,Andares,Vila Mariana,Mobiliado,1,Apartamento,RUA JOAQUIM TAVORA,,"Lindo Apartamento para Locacao, Pronto para Morar - Vila Mariana",1,4000600
7262,,,6736,2345000,9,441,441,4,Curitiba,,,Vista Alegre,Suítes,4,Casa,R JOHANN SEBASTIAN BACH,1,Casa Jardim Schaffer 4 Dormitórios (1 Suíte Master) 7 Vagas,7,
7263,,,,388000,,,31,1,,,,,Churrasqueira,1,Apartamento,,1,Apartamento Studio para Venda em Vila Olímpia São Paulo - Sp,1,
7264,,,,2700000,,500,350,5,São Paulo,,,Jardim São Bento,Churrasqueira,3,Casa,Rua Nursia,2,Casa E Local Maravilhoso. Vista De Toda A Cidade.,4,
7265,,1900,490,580000,28,160,160,3,São Paulo,Fitness/Sala de Ginástica,,Morumbi,Suítes,4,Apartamento,Rua Frederico Guarinon,2,"Oportunidade, Preço Abaixo Do Mercado Venha Visitar.",2,
7266,,,70,330000,,333,,2,Várzea Paulista,,,Cidade Nova II,Esgoto,3,Casa,RUA ALBATROZ 62,1,"Excelente Casa Com 03 Dormitórios, Cidade Nova II",5,
7267,,650,,1050000,,259,259,4,Ribeirão Preto,Salão de festas,,Bonfim Paulista,Churrasqueira,3,Casa,Rua Carlos Roberto Ferreira Caldas,3,Condomínio Alphaville 1 em Ribeirão Preto - Sp - 3 Suítes,4,
7268,,,,172500,,47,47,1,,Espaço Gourmet,,,Churrasqueira,2,Apartamento,,,Parque Das Arvores Apartamento A Venda 2 Dormitórios - Sacada - Lazer Completo,1,
7269,,500,250,325000,5,140,100,2,Praia Grande,,,Campo da Aviação,,3,Apartamento,MARTIM AFONSO DE SOUZA 199,1,"Apartamento 3 Dormitórios, Churrasqueira na Sacada, Praia Grande",2,
7270,,1200,200,1060000,,,160,2,São Paulo,Salão de festas,,Perdizes,,3,Apartamento,R ITAPICURU,1,"Apartamento, Perdizes, São Paulo",1,
7271,,,,956000,Em construção,125,125,5,Campinas,Espaço Gourmet,,Taquaral,,3,Apartamento,Avenida Nossa Senhora de Fátima,3,Sartoria - Taquaral | 3 E 4 Dormitórios | 125 E 155 m&sup2; | à Partir De R$956.000,2,
7272,,,,950000,2,1220,1220,0,Curitiba,,,Mossunguê,,0,Terreno,Rua José Alexandrino,0,Terreno no Ecoville Zr3 Ideal para Aptos Ou Sobrados,0,
7273,,,1,315000,1,125,94,1,Praia Grande,,,Campo da Aviação,,2,Apartamento,R BALNEARIO CAMBURIU 320,1,Apartamento Praia Grande,2,
7274,,589,240,240000,10,120,101,2,Praia Grande,,,Cidade Ocian,,3,Apartamento,AVENIDA PRESIDENTE CASTELO BRANCO 7000,1,Apartamento 3 Dormitórios Frente Mar na Cidade De Praia Grande.,1,
7275,,,,1050000,1,,152,3,Curitiba,Espaço Gourmet,Andares,Batel,Suítes,3,Apartamento,"Avenida Visconde de Guarapuava, 3806",1,Cobertura Com 152 m&sup2; Privativos - 3 Quartos E 2 Vagas - Vista Livre,2,
7276,,,,376820,,,33,,,,,,Piscina,1,Apartamento,,,Apartamento Studio para Venda em Aclimação São Paulo - Sp,1,
7277,,1015,420,960000,18,132,132,4,São Paulo,,,Jardim Marajoara,Aceita Financiamento,3,Apartamento,AV Engenheiro Eusébio Stevaux 1000,1,"Apartamento à Venda | Região Do Jd. Marajoara | 03 Dormitórios, 01 Suíte, 02 Vagas E Área De 132 m&sup2;.",2,
7278,1600,750,333,650000,6,,80,3,São Paulo,Salão de festas,,Morumbi,,3,Apartamento,R Correggio,1,Lindo Com Varanda Gourmet,2,1600750
7279,,391,,345000,21,97,71,2,Curitiba,Playground,,Tarumã,,3,Apartamento,R MARCO BIGARELLA,1,"Apartamento, 3 Dormitórios (1 Suíte), Bairro Tarumã",1,
7280,,1100,370,1340000,8,164,142,4,São Paulo,Espaço Gourmet,,Vila Leopoldina,Suítes,4,Apartamento,R MATIAS ROXO,2,Apartamento Alto Padrão à Venda na Vila Leopoldina - 142 m&sup2;,3,
7281,,500,,1990000,,722,450,5,,Salão de festas,,,,3,Casa,,3,Casa Térrea Com Amplo Terreno - 722 m - Bosque Dos Jatobás,6,
7282,8000,,744,,,412,412,6,São Paulo,,,Butantã,,4,Comercial,Rua Martins,3,Excelente Casa Comercial A Uma Quadra Da Francisco Morato,4,
7283,,1150,160,750000,22,70,70,3,São Paulo,Fitness/Sala de Ginástica,,Pinheiros,Suítes,2,Apartamento,"Rua Cristiano Viana, 660",1,"Pinheiros - 70 m&sup2;, 2 Dorm (1 Suíte) + Escritório, 2 Vagas - Próx. Metrô Clínicas",2,
7284,,,650,1490000,,520,267,3,São Paulo,,,Butantã,Suítes,3,Casa,Rua Tenente-Aviador Mota Lima,1,Casa Térrea Muito Bem Localizada no Coração Do Butantâ,2,
7285,,1100,375,1360000,8,142,142,4,São Paulo,Espaço zen,,Vila Leopoldina,Suítes,3,Apartamento,R MATIAS ROXO,2,Apto para Venda De 142 m&sup2; - Alto Da Lapa,3,
7286,,4300,2100,1950000,21,289,289,3,São Paulo,Elevador,,Panamby,,4,Apartamento,Rua Domenico Perotti,4,"Apartamento Moderno, Decorado E Com Lazer De Clube",4,
7287,6500,,450,1600000,,450,450,5,São Paulo,,,Morumbi,Suítes,4,Casa,Rua Jandiro Joaquim Pereira,3,Excelente Casa Próxima Ao Porto Seguro!,4,
7288,13800,4400,2201,3000000,28,860,480,6,São Paulo,Fitness/Sala de Ginástica,,Real Parque,Suítes,4,Apartamento,Rua Barão de Campos Gerais,4,Rua Alta E Tranquila Do Real Parque - Planta Quadrada!,4,138004400
7289,,600,80,430000,,78,57,2,São Paulo,,,Santa Cecília,,2,Apartamento,R Adolfo Gordo,1,Ótimo Apartamento Com Lazer na Sta. Cecília.,1,
7290,,3500,1700,2790000,,236,236,6,São Paulo,Fitness/Sala de Ginástica,,Perdizes,Suítes,4,Apartamento,Rua Doutor Franco da Rocha,4,Apartamento Com 4 Quartos Perdizes,4,
7291,,1500,498,660000,,140,140,4,São Paulo,Elevador,,Morumbi,Suítes,3,Apartamento,Rua José Ramon Urtiza,1,Apartamento - Vila Andrade - 140 m&sup2; - 3 Dormitórios,2,
7292,,525,145,440000,1,63,63,2,São Paulo,,,Tatuapé,,2,Apartamento,rua mel peixoto,1,63 m&sup2; 2 Dormitórios 1 Suíte 1 Vaga Ampla Varanda Grill Com Pia Lado Metrô Carrão,1,
7293,,,1991,2400000,,400,400,5,São Paulo,,,Moema,Quintal,4,Comercial,Avenida Indianópolis,4,Comercial em Indianópolis - São Paulo,4,
7294,2275,1600,125,360000,14,34,32,1,São Paulo,Fitness/Sala de Ginástica,,Jardins,Suítes,1,Apartamento,"Rua da Consolação, 3555",1,Flat Ao Lado Do Metro Oscar Freire Nos Jardins –quality Oscar Freire– Flat&flats,1,22751600
7295,2465,1400,135,305000,16,35,33,1,São Paulo,Fitness/Sala de Ginástica,,Jardins,Suítes,1,Apartamento,"Alameda Lorena, 521",1,Flat Completo Ao Lado Da Av Nove De Julho Nos Jardins – Ninety – Flat & Flats,1,24651400
7296,,,880,2900000,,460,460,6,São Paulo,,,Jardim Paulista,,0,Comercial,Alameda Campinas,0,Oportunidade Única! Casa Comercial Abaixo Do Valor De Mercado na Alameda Campinas,3,
7297,,200,,157000,Breve lançamento,3600,32,1,São Paulo,Espaço Gourmet,Aceita FGTS,Quinta da Paineira,Churrasqueira,1,Apartamento,Avenida P`rofessor Luiz Ignacio Anhaia Mello,0,Apartamento A Venda na Vila Ema Studio 1 E 2 Quartos - Aceita Fgts Como Entrada,0,
7298,2200,979,190,,28,,81,2,,Sistema de alarme,,,Mobiliado,3,Apartamento,,,"Apartamento Residencial para Locação, Vila Anglo Brasileira, São Paulo.",2,2200979
7299,2200,620,130,450000,2,54,54,2,São Paulo,Espaço Gourmet,Andares,Ipiranga,Suítes,2,Apartamento,"Rua Mil Oitocentos e Vinte e Dois, 895",1,Apartamento Com 02 Dormitórios (1suíte) E 1 Vg | Lazer Completo,1,2200620
7300,,,,580000,30,194,194,1,Curitiba,,Posição do Sol,Novo Mundo,Jardim,3,Casa,Rua Luiz Leopoldo Landall 894,1,Excelente Casa em Novo Mundo,2,
7301,1500,600,,330000,8,56,56,1,São Paulo,Fitness/Sala de Ginástica,,Interlagos,Suítes,2,Apartamento,Rua Djalma Pessolato,0,Ótimo Apartamento Semi Mobiliado em Frente A Estação Autódromo Linha 9 Esmeralda Da Cptm.,1,1500600
7302,,240,,172000,2,58,58,2,Juazeiro do Norte,Fitness/Sala de Ginástica,Aceita FGTS,Aeroporto,Suítes,3,Apartamento,Rua Tabelião Luiz Teófilo Machado,2,Apartamentos Prontos Pra Morar no Bairro Aeroporto!,1,
7303,,850,580,1150000,1,,141,4,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Leopoldina,Suítes,3,Apartamento,Avenida Imperatriz Leopoldina,0,Martese Alto Da Lapa - 3 Dormitórios Oportunidade,2,
7304,,,,239000,,75,66,2,Curitiba,Salão de festas,,Uberaba,Churrasqueira,3,Apartamento,Capitão Leônidas Marques 2410,1,Oportunidade Imperdível!  Mobiliado D&amp;,1,
7305,,,,700000,1,4600,,0,Ilhabela,Área Verde,,Barra Velha,Estuda permuta,0,Terreno,Rua Santa Catarina,0,"Terreno Com Escritura Definitiva à Venda, Barra Velha, Ilhabela.",0,
7306,,1700,700,1550000,13,200,140,5,São Paulo,,,Alto da Lapa,,3,Apartamento,R Doutor José Elias,3,"Belíssimo Apartamento De 140 m&sup2;, 3 Suites, 3 Vagas no Alto Da Lapa",0,
7307,,1450,650,2089000,8,243,243,6,São Paulo,Fitness/Sala de Ginástica,,Chácara Santo Antônio,Suítes,4,Apartamento,"Rua Luiz Seraphico Júnior, 755",4,Stellato - Cobertura Duplex - 04 Suítes - 03 Vagas - Chácara Santo Antônio,3,
7308,,600,140,560000,5,,87,3,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Andrade,Suítes,2,Apartamento,Rua José Gonçalves,2,Apartamento De 87 m&sup2; - 2 Suítes - Varanda Gourmet - 2 Vagas Demarcadas - Pronto,2,
7309,,,,69990,Em construção,175,175,0,,Área Verde,,,,0,Terreno,,0,Vivejo Atibaia | Lotes A Partir De 175 M&sup2;| Itens De Lazer| Facilitado| Lançamento,0,
7310,,,3571,1400000,13,600,396,5,Ilhabela,Área Verde,Ocupado,Praia da Feiticeira,Suítes,6,Casa,Rua Don José,3,"Casa à Venda, Feiticeira, Ilhabela - Du - Ca0041.",4,
7311,,,,69990,Em construção,175,175,0,,Área Verde,,,,0,Terreno,,0,Lotes A Partir De 175 m&sup2; em Atibaia | Itens De Lazer | Facilitado | Lançamento,0,
