,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
941,6000,800,,,,192,192,4,São José dos Campos,Fitness/Sala de Ginástica,,Jardim Aquárius,Suítes,4,Apartamento,Avenida do Tubarão 331,4,Ed. Central Park no Jardim Aquarius,4,6000800
942,,450,180,310000,1,120,88,2,Mongaguá,Espaço Gourmet,Andares,Centro,Suítes,2,Apartamento,Av. São Paulo,1,Apto 2 Dorms Sacada Gourmet Lazer Completo em Prédio Frente Ao Mar,1,
943,,930,105,570000,42,77,50,1,São Paulo,,,Consolação,Área de serviço,1,Apartamento,DONA ANTONIA DE QUEIROS,0,Apartamento à Venda - na Consolação,1,
944,,1,1,11900000,8,1,1300,7,Bragança Paulista,,,Quinta da Baroneza,,6,Casa,Alameda das Pitombas,6,Suntuosa Residência,6,
945,,350,72,850000,4,360,220,5,Louveira,Interfone,Aceita FGTS,Condominio Picollo Villaggio,Suítes,3,Casa,Estrada Alfredo Strabello,3,Linda Casa Térrea A Venda Condominio Picollo Villaggio em Louveira,4,
946,,1750,374,2100000,,209,189,2,São Paulo,Fitness/Sala de Ginástica,,Cerqueira César,Permite animais,3,Apartamento,AL Tietê,1,Apartamento A Venda,1,
947,,,,370000,15,110,104,2,São Paulo,Acesso asfaltado,Ocupado,Jardim Modelo,Churrasqueira,3,Casa,"Rua Arumã, 95",0,"Lindo Sobrado Com Edícula, 3 Dormitórios no Jaçanâ.",2,
948,,760,102,330000,,104,104,3,Salvador,Salão de festas,,Rio Vermelho,Varanda,3,Apartamento,Rodrigo Argollo,1,Ótimo Apartamento 3 Quartos 104 m&sup2; Vende no Rio Vermelho,1,
949,,380,90,495000,3,80,80,1,São Bernardo do Campo,Salão de festas,,Rudge Ramos,Churrasqueira,2,Apartamento,"LAURO GOMES, AV",1,Apartamento Rudge Ramos São Bernardo Do Campo,2,
950,,,,640000,1,840,840,0,Pinhais,Acesso asfaltado,,Jardim Amélia,,0,Terreno,"Rua Sebastião Stancki da Luz Junior, 408",0,Excelente Terreno Com Projeto Aprovado em Pinhais,0,
